9018,有用功越大物体的机械效率越大
9019,水的沸点一定是100摄氏度
9028,物块静止放在桌面上物块所受重力和物块对桌面的压力是一对作用力和反作用力
9029,云和雾其实就是水蒸气[√][×]
9039,某同学想用下述方法研究物体是否做匀加速直线运动：在重锤下落打出的纸带上选取多个计数点测量它们到起始点O的距离x计算对应计数点所用的时间t描绘x-t2图像并做如下判断：若图像是一条过原点的直线则重锤做的是初速度为零的匀加速直线运动请你分析论证该同学的判断依据是否正确
9083,作用力和反作用力大小相等、方向相反作用在一条直线上因此它们的合力为零
9105,光的速度是每秒约30万千米光年是一个时间单位[√][×]
9150,"被誉为""中国天眼""的500米口径球面射电望远镜(FAST)是世界最大单口径、最灵敏的射电望远镜由我国科学家南仁东设计[√][×]"
9155,物块静止放在桌面上物块所受重力和物块对桌面的压力是一对作用力和反作用力
9166,物体对桌面的压力与桌面对物体的支持力是一对平衡力
9207,作用力施加之后才会产生反作用力即反作用力总比作用力落后一些
9220,物体间可能只有作用力而没有反作用力
9235,在阳光照射时太阳能电池将太阳能转化为电能[√][×]
9244,在阳光照射时太阳能电池将太阳能转化为电能[√][×]
9444,两个物体只有接触才存在作用力和反作用力
9453,"被誉为""中国天眼""的500米口径球面射电望远镜(FAST)是世界最大单口径、最灵敏的射电望远镜由我国科学家南仁东设计[√][×]"
9454,人推小车时人也受到小车的推力[√][×]
9545,物体间可能只有作用力而没有反作用力
9554,物体对桌面的压力与桌面对物体的支持力是一对平衡力
9568,水银温度计是应用液体热胀冷缩性质测量温度的[√][×]
9646,光的速度是每秒约30万千米光年是一个时间单位[√][×]
9756,物体间可能只有作用力而没有反作用力
9831,人推小车时人也受到小车的推力[√][×]
9844,云和雾其实就是水蒸气[√][×]
9874,作用力施加之后才会产生反作用力即反作用力总比作用力落后一些
9902,汽车加速运动时一定受到非平衡力的作用
9907,作用力和反作用力大小相等、方向相反作用在一条直线上因此它们的合力为零
9949,水银温度计是应用液体热胀冷缩性质测量温度的[√][×]
