53486	成长的味道开头和结尾怎么写开头点出我的成长道路中有酸甜苦辣引出下文结尾说出我的成长	钢铁是怎样炼成的习题	0
53487	什么意思神龟虽寿犹有竟时	走一步再走一步为什么反复强调再走一步	0
53488	关于邻补角邻补角的定义到底是什么一直搞不清楚	语文书法题基础运用题答	0
53489	语文语文语文晚清名臣曾国藩在遭遇困境时曾说坚其志苦其心勤其力事无大小必有所成从你读过的两部名著中分别选取一个人物结合相关内容谈谈你对这句话的理解	阅读文段回答问题语文	0
53490	阅读阅读阅读如何解答希望得到帮助啦	满江红这首诗是如何表现诗人情系天下的看看这道题感	0
53491	怎么写作文的开头怎么把作文的开头写的生动	素养照片上的题目希望大家能解答一下	0
53492	西游记导学案4749回	语文微写作帮我看看微写作能得多少分有什么问题	0
53493	古诗词鉴赏无从下笔最后一题理解不了该按什么步骤写改怎么翻译怎么写得分点在哪里	第二小题问一下这道题怎么写	0
53494	不太会这道题寄托了怎样的感情我不太懂	出师表的一词多义意的一词多义是什么我感你	0
53495	基础运用选择题这题应该选什么我觉得意思都差不多怎么区分	出师表的内容诸葛亮向刘禅提了哪些建议	0
53496	语文的基础运用都考哪几种类型	古诗文阅读古诗文与现代文比较回答	0
53497	读图回答麻烦尽量快点回答	课文大自然的语言这篇课文的段落大意是什么	0
53498	书体知识运用为我检查	小石潭记甲为什么不对解答	0
53499	社会大课堂能帮我解答一下5题吗	能帮我讲讲怎么能把读读写写连成一段话吗课后读读写写让连成一段话可是我理解不了	0
53500	陈涉应该列为列传为什么列入了世家	人物间的矛盾和冲突最能突现人物性格结合读过的初中名著	0
53501	名著阅读题水浒传中的兄弟情义都有哪些举几个例子	语文大作文写作您帮我看看这篇作文能得多少分就是按照高考标准的真实分数给低点也没事想知道有什么问题	0
53502	字音不太会男子二十冠而字中的冠如何发音如何辨别	出师表帮我总结一下出师表有什么考点或考法	0
53503	素养照片上的题目希望大家能解答一下	古诗词积累体现惜别的古诗词都有哪些	0
